epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7820.18,1.13681,0.85488,0.92834,0.71933,0.69899,0.77305,0.55673,1.28322,0.98079,0.9812,0.000665903,0.000665903,0.000665903
2,15417,1.14925,0.86666,0.92614,0.73337,0.70137,0.77711,0.55642,1.26898,0.98426,0.97637,0.00106872,0.00106872,0.00106872
3,23100.6,1.13513,0.85683,0.91866,0.71575,0.6774,0.75624,0.54657,1.28241,0.99745,0.9742,0.00120754,0.00120754,0.00120754
4,30885.3,1.10362,0.82902,0.91141,0.72596,0.68028,0.76793,0.55489,1.2648,1.00904,0.97074,0.000812,0.000812,0.000812
5,38683.6,1.07642,0.80115,0.90558,0.73009,0.71429,0.78768,0.57885,1.22336,0.92313,0.95707,0.000416,0.000416,0.000416
