epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7593.56,0.99216,0.72556,0.88579,0.7862,0.72923,0.83099,0.63292,1.18665,0.88469,0.94482,0.000665903,0.000665903,0.000665903
2,15043.3,1.00738,0.74123,0.88756,0.76755,0.73718,0.82016,0.6191,1.18446,0.86769,0.93967,0.0011127,0.0011127,0.0011127
3,22516.1,1.02242,0.75817,0.89033,0.74643,0.70872,0.8002,0.60796,1.18458,0.87363,0.94177,0.00133949,0.00133949,0.00133949
4,30143.6,1.00813,0.74191,0.88813,0.7819,0.73865,0.83192,0.63452,1.16401,0.84896,0.93552,0.00101,0.00101,0.00101
5,37713.3,0.99568,0.73065,0.88583,0.7186,0.73739,0.78598,0.5989,1.16796,0.8866,0.93308,0.00068,0.00068,0.00068
6,45204.5,0.98,0.71555,0.88296,0.78703,0.75035,0.84186,0.65161,1.14413,0.82569,0.93083,0.00035,0.00035,0.00035
