epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8182.57,1.1904,0.89143,0.94917,0.66484,0.66018,0.70276,0.48857,1.33777,1.15645,1.01925,0.000665903,0.000665903,0.000665903
2,7377.32,1.13456,0.87882,0.94071,0.73874,0.69892,0.77983,0.54099,1.31951,0.96195,1.00703,0.000892822,0.000892822,0.000892822
3,14531.4,1.09016,0.83139,0.92553,0.73856,0.7139,0.78742,0.55445,1.29719,0.95921,0.99147,0.00067974,0.00067974,0.00067974
