epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7684.57,0.97025,0.70805,0.88103,0.79442,0.73577,0.83671,0.63941,1.1871,0.88466,0.94394,0.000665903,0.000665903,0.000665903
2,15185,0.98495,0.72239,0.88272,0.77424,0.74508,0.82901,0.63675,1.15627,0.83731,0.93316,0.0011127,0.0011127,0.0011127
3,22732.2,0.9959,0.73519,0.88409,0.78491,0.73431,0.83226,0.63223,1.1766,0.85366,0.93798,0.00133949,0.00133949,0.00133949
4,30329,0.98436,0.71999,0.88241,0.78327,0.74404,0.83538,0.64001,1.15794,0.83728,0.93284,0.00101,0.00101,0.00101
5,37915.2,0.97302,0.7106,0.88099,0.7479,0.74694,0.81251,0.61926,1.16248,0.84409,0.93185,0.00068,0.00068,0.00068
6,45437.9,0.95905,0.69791,0.87843,0.78787,0.75537,0.84425,0.6578,1.13074,0.81124,0.92711,0.00035,0.00035,0.00035
