epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7588.43,0.92506,0.66964,0.87203,0.81324,0.75638,0.85644,0.6666,1.13294,0.83771,0.92887,0.000665903,0.000665903,0.000665903
2,15007,0.93891,0.68155,0.8731,0.77838,0.74907,0.83118,0.64695,1.1378,0.83381,0.92902,0.00116766,0.00116766,0.00116766
3,22427.3,0.95082,0.69411,0.87447,0.77168,0.74522,0.83132,0.64935,1.13388,0.82845,0.92751,0.00150443,0.00150443,0.00150443
4,29938.5,0.94282,0.68499,0.87367,0.78627,0.75277,0.83995,0.64842,1.13851,0.82042,0.9269,0.0012575,0.0012575,0.0012575
5,37395.3,0.93869,0.68162,0.87331,0.756,0.75733,0.82229,0.64218,1.12826,0.81688,0.92416,0.00101,0.00101,0.00101
6,44749.9,0.93481,0.67724,0.87265,0.7959,0.76496,0.85187,0.66747,1.12336,0.79722,0.92448,0.0007625,0.0007625,0.0007625
7,52185.4,0.92992,0.67438,0.87316,0.82692,0.7775,0.87282,0.68016,1.11565,0.782,0.92353,0.000515,0.000515,0.000515
8,59669.8,0.92279,0.66874,0.87243,0.7896,0.77412,0.84946,0.66494,1.1119,0.78741,0.92147,0.0002675,0.0002675,0.0002675
