epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7578.77,0.93783,0.68005,0.87452,0.80621,0.74745,0.84819,0.6583,1.14083,0.85388,0.93049,0.000665903,0.000665903,0.000665903
2,15050,0.95036,0.69127,0.87534,0.74066,0.74437,0.80047,0.62081,1.14321,0.84669,0.92794,0.00114411,0.00114411,0.00114411
3,22601.9,0.96094,0.70246,0.87656,0.79178,0.74215,0.83947,0.63897,1.15848,0.8403,0.93225,0.00143374,0.00143374,0.00143374
4,30167.8,0.95592,0.69482,0.87615,0.78472,0.75205,0.83934,0.64743,1.13709,0.81574,0.92684,0.00115143,0.00115143,0.00115143
5,37639.1,0.94758,0.68866,0.87529,0.72506,0.74766,0.79266,0.61898,1.12926,0.83698,0.92376,0.000868571,0.000868571,0.000868571
6,45182.1,0.94046,0.68216,0.87424,0.78765,0.75539,0.84402,0.66148,1.12608,0.80879,0.9262,0.000585714,0.000585714,0.000585714
7,52700,0.93381,0.67758,0.87459,0.81157,0.77234,0.86317,0.67499,1.11637,0.78601,0.92401,0.000302857,0.000302857,0.000302857
