epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7539.31,0.95226,0.69258,0.87738,0.79619,0.72185,0.83008,0.64134,1.16481,0.93705,0.93689,0.000665903,0.000665903,0.000665903
2,14946.8,0.9657,0.7049,0.87846,0.78927,0.75418,0.84144,0.64856,1.14508,0.81958,0.92899,0.0011127,0.0011127,0.0011127
3,22421.7,0.97516,0.71533,0.87962,0.79586,0.73364,0.83727,0.63722,1.17771,0.84801,0.93917,0.00133949,0.00133949,0.00133949
4,29920,0.96423,0.70468,0.87851,0.78268,0.74246,0.83341,0.63997,1.14429,0.82748,0.9285,0.00101,0.00101,0.00101
5,37384.6,0.95511,0.69565,0.87725,0.73882,0.75049,0.80563,0.62005,1.14342,0.84671,0.92623,0.00068,0.00068,0.00068
6,44882.2,0.94346,0.68404,0.87526,0.78707,0.76236,0.84545,0.66173,1.12403,0.79892,0.92504,0.00035,0.00035,0.00035
